,日期,标准期限说明,标准期限(年),收益率(%)
0,2021/01/04,0d,0.0,0.6282
1,2021/01/04,1m,0.08,1.5995
2,2021/01/04,2m,0.17,2.1496
3,2021/01/04,3m,0.25,2.1518
4,2021/01/04,6m,0.5,2.3646
5,2021/01/04,9m,0.75,2.4456
6,2021/01/04,1y,1.0,2.4952
7,2021/01/04,2y,2.0,2.7672
8,2021/01/04,3y,3.0,2.8784
9,2021/01/04,5y,5.0,2.9961
10,2021/01/04,7y,7.0,3.2124
11,2021/01/04,10y,10.0,3.178
12,2021/01/04,15y,15.0,3.5695
13,2021/01/04,20y,20.0,3.691
14,2021/01/04,30y,30.0,3.7593
15,2021/01/04,40y,40.0,3.7933
16,2021/01/04,50y,50.0,3.82
17,2021/01/05,0d,0.0,0.6532
18,2021/01/05,1m,0.08,1.5995
19,2021/01/05,2m,0.17,2.1026
20,2021/01/05,3m,0.25,2.1029
21,2021/01/05,6m,0.5,2.3465
22,2021/01/05,9m,0.75,2.4218
23,2021/01/05,1y,1.0,2.4714
24,2021/01/05,2y,2.0,2.7167
25,2021/01/05,3y,3.0,2.84
26,2021/01/05,5y,5.0,2.9459
27,2021/01/05,7y,7.0,3.175
28,2021/01/05,10y,10.0,3.1305
29,2021/01/05,15y,15.0,3.5272
30,2021/01/05,20y,20.0,3.6487
31,2021/01/05,30y,30.0,3.7222
32,2021/01/05,40y,40.0,3.7647
33,2021/01/05,50y,50.0,3.8
34,2021/01/06,0d,0.0,0.5402
35,2021/01/06,1m,0.08,1.4967
36,2021/01/06,2m,0.17,1.9998
37,2021/01/06,3m,0.25,2.0034
38,2021/01/06,6m,0.5,2.2397
39,2021/01/06,9m,0.75,2.3183
40,2021/01/06,1y,1.0,2.4109
41,2021/01/06,2y,2.0,2.6993
42,2021/01/06,3y,3.0,2.7911
43,2021/01/06,5y,5.0,2.9335
44,2021/01/06,7y,7.0,3.145
45,2021/01/06,10y,10.0,3.1256
46,2021/01/06,15y,15.0,3.5235
47,2021/01/06,20y,20.0,3.645
48,2021/01/06,30y,30.0,3.7197
49,2021/01/06,40y,40.0,3.7585
50,2021/01/06,50y,50.0,3.79
51,2021/01/07,0d,0.0,0.8452
52,2021/01/07,1m,0.08,1.4967
53,2021/01/07,2m,0.17,1.9515
54,2021/01/07,3m,0.25,1.9879
55,2021/01/07,6m,0.5,2.21
56,2021/01/07,9m,0.75,2.2747
57,2021/01/07,1y,1.0,2.3568
58,2021/01/07,2y,2.0,2.6348
