,代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
0,sh600000,浦发银行,10.6,0.1,0.952,10.59,10.6,10.5,10.47,10.61,10.46,33542803.0,353897262.0
1,sh600004,白云机场,13.12,-0.09,-0.681,13.12,13.13,13.21,13.18,13.18,12.97,7994234.0,104519237.0
2,sh600006,东风汽车,6.91,-0.17,-2.401,6.91,6.92,7.08,6.8,7.24,6.77,96632022.0,669285355.0
3,sh600007,中国国贸,12.36,0.02,0.162,12.35,12.36,12.34,12.34,12.49,12.26,379820.0,4692412.0
4,sh600008,首创股份,3.02,-0.03,-0.984,3.02,3.03,3.05,3.04,3.05,3.01,23876339.0,72215353.0
5,sh600009,上海机场,57.18,0.75,1.329,57.18,57.19,56.43,56.2,57.29,56.01,10891052.0,619055491.0
6,sh600010,包钢股份,1.56,-0.05,-3.106,1.56,1.57,1.61,1.59,1.59,1.56,544979030.0,857273893.0
7,sh600011,华能国际,4.12,-0.05,-1.199,4.11,4.12,4.17,4.16,4.16,4.1,15087842.0,62105777.0
8,sh600012,皖通高速,7.23,-0.09,-1.23,7.22,7.23,7.32,7.33,7.38,7.22,3870801.0,28131469.0
9,sh600015,华夏银行,6.31,0.03,0.478,6.3,6.31,6.28,6.26,6.31,6.26,14255182.0,89649616.0
10,sh600016,民生银行,4.94,0.0,0.0,4.93,4.94,4.94,4.94,4.95,4.92,35743324.0,176412805.0
11,sh600017,日照港,2.82,-0.02,-0.704,2.81,2.82,2.84,2.84,2.84,2.81,10866300.0,30655694.0
12,sh600018,上港集团,4.6,-0.05,-1.075,4.59,4.6,4.65,4.62,4.63,4.58,12735614.0,58568454.0
13,sh600019,宝钢股份,8.09,-0.33,-3.919,8.08,8.09,8.42,8.36,8.36,8.02,126755703.0,1029660234.0
14,sh600020,中原高速,3.32,-0.01,-0.3,3.31,3.32,3.33,3.32,3.33,3.29,3892825.0,12878681.0
15,sh600021,上海电力,7.19,-0.13,-1.776,7.19,7.2,7.32,7.29,7.29,7.18,10470343.0,75643105.0
16,sh600022,山东钢铁,1.71,-0.03,-1.724,1.7,1.71,1.74,1.73,1.73,1.67,147043981.0,249183893.0
17,sh600023,浙能电力,3.7,0.0,0.0,3.69,3.7,3.7,3.69,3.7,3.67,19481434.0,71803580.0
18,sh600025,华能水电,5.88,-0.02,-0.339,5.87,5.88,5.9,5.85,5.9,5.74,33747600.0,196295095.0
19,sh600026,中远海能,6.35,-0.1,-1.55,6.35,6.36,6.45,6.42,6.42,6.31,12476927.0,79176232.0
20,sh600027,华电国际,3.46,-0.04,-1.143,3.45,3.46,3.5,3.49,3.49,3.45,18316428.0,63420238.0
21,sh600028,中国石化,4.29,-0.11,-2.5,4.28,4.29,4.4,4.37,4.37,4.28,159003283.0,685136348.0
22,sh600029,南方航空,6.75,-0.17,-2.457,6.74,6.75,6.92,6.81,6.82,6.7,44057789.0,297386009.0
23,sh600030,中信证券,23.66,-0.11,-0.463,23.66,23.67,23.77,23.63,23.77,23.56,28810958.0,681276536.0
24,sh600031,三一重工,31.89,-0.44,-1.361,31.89,31.9,32.33,31.99,32.0,31.22,75045614.0,2374214127.0
25,sh600033,福建高速,2.68,0.0,0.0,2.68,2.69,2.68,2.68,2.69,2.67,1867680.0,4995724.0
26,sh600035,楚天高速,2.88,-0.01,-0.346,2.87,2.88,2.89,2.88,2.9,2.86,2391184.0,6870913.0
27,sh600036,招商银行,52.8,0.81,1.558,52.8,52.82,51.99,52.06,52.99,52.03,39417060.0,2068908856.0
28,sh600037,歌华有线,9.76,-0.22,-2.204,9.76,9.77,9.98,9.93,9.95,9.68,12777338.0,124905808.0
29,sh600038,中直股份,50.67,-0.01,-0.02,50.59,50.66,50.68,50.52,51.0,50.24,3140949.0,158855318.0
30,sh600039,四川路桥,6.72,0.0,0.0,6.71,6.72,6.72,6.72,6.83,6.67,21444347.0,144679014.0
31,sh600048,保利地产,14.1,-0.02,-0.142,14.09,14.1,14.12,14.11,14.11,13.98,29660627.0,417016061.0
